GO,n_genes,TERM,contrast,term_label
GO:0048878,1,chemical homeostasis,thin_vs_early,chemical homeostasis
GO:0050667,1,homocysteine metabolic process,thin_vs_early,homocysteine metabolic process
GO:0051053,1,negative regulation of DNA metabolic process,thin_vs_early,negative regulation of DNA metabolic process
GO:0051054,1,positive regulation of DNA metabolic process,thin_vs_early,positive regulation of DNA metabolic process
GO:0051058,1,negative regulation of small GTPase mediated signal transduction,thin_vs_early,negative regulation of small GTPase mediated signal transduction
GO:0051099,1,positive regulation of binding,thin_vs_early,positive regulation of binding
GO:0051126,1,negative regulation of actin nucleation,thin_vs_early,negative regulation of actin nucleation
GO:0051131,1,chaperone-mediated protein complex assembly,thin_vs_early,chaperone-mediated protein complex assembly
GO:0051177,1,meiotic sister chromatid cohesion,thin_vs_early,meiotic sister chromatid cohesion
GO:0051229,1,meiotic spindle disassembly,thin_vs_early,meiotic spindle disassembly
GO:0051255,1,spindle midzone assembly,thin_vs_early,spindle midzone assembly
GO:0051256,1,mitotic spindle midzone assembly,thin_vs_early,mitotic spindle midzone assembly
GO:0051365,1,cellular response to potassium ion starvation,thin_vs_early,cellular response to potassium ion starvation
GO:0051417,1,microtubule nucleation by spindle pole body,thin_vs_early,microtubule nucleation by spindle pole body
GO:0051598,1,meiotic recombination checkpoint signaling,thin_vs_early,meiotic recombination checkpoint signaling
GO:0051607,1,defense response to virus,thin_vs_early,defense response to virus
GO:0051664,1,nuclear pore localization,thin_vs_early,nuclear pore localization
GO:0051792,1,medium-chain fatty acid biosynthetic process,thin_vs_early,medium-chain fatty acid biosynthetic process
GO:0051793,1,medium-chain fatty acid catabolic process,thin_vs_early,medium-chain fatty acid catabolic process
GO:0052837,1,thiazole biosynthetic process,thin_vs_early,thiazole biosynthetic process
GO:0055064,1,chloride ion homeostasis,thin_vs_early,chloride ion homeostasis
GO:0055075,1,potassium ion homeostasis,thin_vs_early,potassium ion homeostasis
GO:0055086,1,nucleobase-containing small molecule metabolic process,thin_vs_early,nucleobase-containing small molecule metabolic process
GO:0055091,1,phospholipid homeostasis,thin_vs_early,phospholipid homeostasis
GO:0055129,1,L-proline biosynthetic process,thin_vs_early,L-proline biosynthetic process
GO:0060237,1,regulation of fungal-type cell wall organization,thin_vs_early,regulation of fungal-type cell wall organization
GO:0060304,1,regulation of phosphatidylinositol dephosphorylation,thin_vs_early,regulation of phosphatidylinositol dephosphorylation
GO:0060631,1,regulation of meiosis I,thin_vs_early,regulation of meiosis I
GO:0060962,1,regulation of ribosomal protein gene transcription by RNA polymerase II,thin_vs_early,regulation of ribosomal protein gene transcription by RNA polymerase II
GO:0061158,1,3'-UTR-mediated mRNA destabilization,thin_vs_early,3'-UTR-mediated mRNA destabilization
GO:0061186,1,negative regulation of silent mating-type cassette heterochromatin formation,thin_vs_early,negative regulation of silent mating-type cassette heterochromatin formation
GO:0061435,1,positive regulation of transcription from a mobile element promoter,thin_vs_early,positive regulation of transcription from a mobile element promoter
GO:0061723,1,glycophagy,thin_vs_early,glycophagy
GO:0061753,1,substrate localization to autophagosome,thin_vs_early,substrate localization to autophagosome
GO:0061817,1,endoplasmic reticulum-plasma membrane tethering,thin_vs_early,endoplasmic reticulum-plasma membrane tethering
GO:0061982,1,meiosis I cell cycle process,thin_vs_early,meiosis I cell cycle process
GO:0062197,1,cellular response to chemical stress,thin_vs_early,cellular response to chemical stress
GO:0070059,1,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,thin_vs_early,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress
GO:0070096,1,mitochondrial outer membrane translocase complex assembly,thin_vs_early,mitochondrial outer membrane translocase complex assembly
GO:0070125,1,mitochondrial translational elongation,thin_vs_early,mitochondrial translational elongation
GO:0070130,1,negative regulation of mitochondrial translation,thin_vs_early,negative regulation of mitochondrial translation
GO:0070131,1,positive regulation of mitochondrial translation,thin_vs_early,positive regulation of mitochondrial translation
GO:0070193,1,synaptonemal complex organization,thin_vs_early,synaptonemal complex organization
GO:0070194,1,synaptonemal complex disassembly,thin_vs_early,synaptonemal complex disassembly
GO:0070328,1,triglyceride homeostasis,thin_vs_early,triglyceride homeostasis
GO:0070417,1,cellular response to cold,thin_vs_early,cellular response to cold
GO:0070481,1,"nuclear-transcribed mRNA catabolic process, non-stop decay",thin_vs_early,"nuclear-transcribed mRNA catabolic process, non-stop decay"
GO:0070525,1,tRNA threonylcarbamoyladenosine metabolic process,thin_vs_early,tRNA threonylcarbamoyladenosine metabolic process
GO:0070574,1,cadmium ion transmembrane transport,thin_vs_early,cadmium ion transmembrane transport
GO:0070682,1,proteasome regulatory particle assembly,thin_vs_early,proteasome regulatory particle assembly
GO:0070843,1,misfolded protein transport,thin_vs_early,misfolded protein transport
GO:0070880,1,fungal-type cell wall beta-glucan biosynthetic process,thin_vs_early,fungal-type cell wall beta-glucan biosynthetic process
GO:0070898,1,RNA polymerase III preinitiation complex assembly,thin_vs_early,RNA polymerase III preinitiation complex assembly
GO:0070911,1,global genome nucleotide-excision repair,thin_vs_early,global genome nucleotide-excision repair
GO:0070972,1,protein localization to endoplasmic reticulum,thin_vs_early,protein localization to endoplasmic reticulum
GO:0070973,1,protein localization to endoplasmic reticulum exit site,thin_vs_early,protein localization to endoplasmic reticulum exit site
GO:0070981,1,L-asparagine biosynthetic process,thin_vs_early,L-asparagine biosynthetic process
GO:0071042,1,nuclear polyadenylation-dependent mRNA catabolic process,thin_vs_early,nuclear polyadenylation-dependent mRNA catabolic process
GO:0071244,1,cellular response to carbon dioxide,thin_vs_early,cellular response to carbon dioxide
GO:0071269,1,L-homocysteine biosynthetic process,thin_vs_early,L-homocysteine biosynthetic process
GO:0071406,1,cellular response to methylmercury,thin_vs_early,cellular response to methylmercury
GO:0071421,1,manganese ion transmembrane transport,thin_vs_early,manganese ion transmembrane transport
GO:0071422,1,succinate transmembrane transport,thin_vs_early,succinate transmembrane transport
GO:0071454,1,cellular response to anoxia,thin_vs_early,cellular response to anoxia
GO:0071464,1,cellular response to hydrostatic pressure,thin_vs_early,cellular response to hydrostatic pressure
GO:0071468,1,cellular response to acidic pH,thin_vs_early,cellular response to acidic pH
GO:0071472,1,cellular response to salt stress,thin_vs_early,cellular response to salt stress
GO:0071476,1,cellular hypotonic response,thin_vs_early,cellular hypotonic response
GO:0071507,1,pheromone response MAPK cascade,thin_vs_early,pheromone response MAPK cascade
GO:0071528,1,tRNA re-export from nucleus,thin_vs_early,tRNA re-export from nucleus
GO:0071585,1,detoxification of cadmium ion,thin_vs_early,detoxification of cadmium ion
GO:0071590,1,nicotinamide riboside biosynthetic process,thin_vs_early,nicotinamide riboside biosynthetic process
GO:0071592,1,nicotinic acid riboside biosynthetic process,thin_vs_early,nicotinic acid riboside biosynthetic process
GO:0071596,1,ubiquitin-dependent protein catabolic process via the N-end rule pathway,thin_vs_early,ubiquitin-dependent protein catabolic process via the N-end rule pathway
GO:0071805,1,potassium ion transmembrane transport,thin_vs_early,potassium ion transmembrane transport
GO:0071852,1,fungal-type cell wall organization or biogenesis,thin_vs_early,fungal-type cell wall organization or biogenesis
GO:0071897,1,DNA biosynthetic process,thin_vs_early,DNA biosynthetic process
GO:0071934,1,thiamine transmembrane transport,thin_vs_early,thiamine transmembrane transport
GO:0071985,1,multivesicular body sorting pathway,thin_vs_early,multivesicular body sorting pathway
GO:0072334,1,UDP-galactose transmembrane transport,thin_vs_early,UDP-galactose transmembrane transport
GO:0072348,1,sulfur compound transport,thin_vs_early,sulfur compound transport
GO:0072659,1,protein localization to plasma membrane,thin_vs_early,protein localization to plasma membrane
GO:0072665,1,protein localization to vacuole,thin_vs_early,protein localization to vacuole
GO:0072666,1,establishment of protein localization to vacuole,thin_vs_early,establishment of protein localization to vacuole
GO:0072741,1,protein localization to cell division site,thin_vs_early,protein localization to cell division site
GO:0072742,1,SAGA complex localization to transcription regulatory region,thin_vs_early,SAGA complex localization to transcription regulatory region
GO:0080090,1,regulation of primary metabolic process,thin_vs_early,regulation of primary metabolic process
GO:0090068,1,positive regulation of cell cycle process,thin_vs_early,positive regulation of cell cycle process
GO:0090083,1,regulation of inclusion body assembly,thin_vs_early,regulation of inclusion body assembly
GO:0090156,1,intracellular sphingolipid homeostasis,thin_vs_early,intracellular sphingolipid homeostasis
GO:0090158,1,endoplasmic reticulum membrane organization,thin_vs_early,endoplasmic reticulum membrane organization
GO:0090180,1,positive regulation of thiamine biosynthetic process,thin_vs_early,positive regulation of thiamine biosynthetic process
GO:0090262,1,regulation of transcription-coupled nucleotide-excision repair,thin_vs_early,regulation of transcription-coupled nucleotide-excision repair
GO:0090268,1,activation of mitotic cell cycle spindle assembly checkpoint,thin_vs_early,activation of mitotic cell cycle spindle assembly checkpoint
GO:0090295,1,nitrogen catabolite repression of transcription,thin_vs_early,nitrogen catabolite repression of transcription
GO:0090306,1,meiotic spindle assembly,thin_vs_early,meiotic spindle assembly
GO:0090339,1,negative regulation of formin-nucleated actin cable assembly,thin_vs_early,negative regulation of formin-nucleated actin cable assembly
GO:0090368,1,regulation of ornithine metabolic process,thin_vs_early,regulation of ornithine metabolic process
GO:0090372,1,positive regulation of glycerol transport,thin_vs_early,positive regulation of glycerol transport
GO:0090549,1,response to carbon starvation,thin_vs_early,response to carbon starvation
GO:0090606,1,single-species surface biofilm formation,thin_vs_early,single-species surface biofilm formation
GO:0097035,1,regulation of membrane lipid distribution,thin_vs_early,regulation of membrane lipid distribution
GO:0097053,1,L-kynurenine catabolic process,thin_vs_early,L-kynurenine catabolic process
GO:0097237,1,cellular response to toxic substance,thin_vs_early,cellular response to toxic substance
GO:0097745,1,mitochondrial tRNA 5'-end processing,thin_vs_early,mitochondrial tRNA 5'-end processing
GO:0098609,1,cell-cell adhesion,thin_vs_early,cell-cell adhesion
GO:0098734,1,macromolecule depalmitoylation,thin_vs_early,macromolecule depalmitoylation
GO:0099606,1,microtubule plus-end directed mitotic chromosome migration,thin_vs_early,microtubule plus-end directed mitotic chromosome migration
GO:0106074,1,aminoacyl-tRNA metabolism involved in translational fidelity,thin_vs_early,aminoacyl-tRNA metabolism involved in translational fidelity
GO:0110083,1,positive regulation of protein localization to cell division site involved in mitotic actomyosin contractile ring assembly,thin_vs_early,positive regulation of protein localization to cell division site involved in mitotic actomyosin contractile ring assembly
GO:0110095,1,cellular detoxification of aldehyde,thin_vs_early,cellular detoxification of aldehyde
GO:0120029,1,proton export across plasma membrane,thin_vs_early,proton export across plasma membrane
GO:0140021,1,mitochondrial ADP transmembrane transport,thin_vs_early,mitochondrial ADP transmembrane transport
GO:0140042,1,lipid droplet formation,thin_vs_early,lipid droplet formation
GO:0140115,1,export across plasma membrane,thin_vs_early,export across plasma membrane
GO:0140206,1,dipeptide import across plasma membrane,thin_vs_early,dipeptide import across plasma membrane
GO:0140281,1,positive regulation of mitotic division septum assembly,thin_vs_early,positive regulation of mitotic division septum assembly
GO:0140331,1,aminophospholipid translocation,thin_vs_early,aminophospholipid translocation
GO:0140466,1,iron-sulfur cluster export from the mitochondrion,thin_vs_early,iron-sulfur cluster export from the mitochondrion
GO:0140469,1,GCN2-mediated signaling,thin_vs_early,GCN2-mediated signaling
GO:0140647,1,P450-containing electron transport chain,thin_vs_early,P450-containing electron transport chain
GO:0160020,1,positive regulation of ferroptosis,thin_vs_early,positive regulation of ferroptosis
GO:1900153,1,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",thin_vs_early,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
GO:1900186,1,negative regulation of clathrin-dependent endocytosis,thin_vs_early,negative regulation of clathrin-dependent endocytosis
GO:1900430,1,positive regulation of filamentous growth of a population of unicellular organisms,thin_vs_early,positive regulation of filamentous growth of a population of unicellular organisms
GO:1900436,1,positive regulation of filamentous growth of a population of unicellular organisms in response to starvation,thin_vs_early,positive regulation of filamentous growth of a population of unicellular organisms in response to starvation
GO:1900481,1,negative regulation of diacylglycerol biosynthetic process,thin_vs_early,negative regulation of diacylglycerol biosynthetic process
GO:1900829,1,D-tyrosine catabolic process,thin_vs_early,D-tyrosine catabolic process
GO:1900832,1,D-leucine catabolic process,thin_vs_early,D-leucine catabolic process
GO:1901135,1,carbohydrate derivative metabolic process,thin_vs_early,carbohydrate derivative metabolic process
GO:1901195,1,positive regulation of formation of translation preinitiation complex,thin_vs_early,positive regulation of formation of translation preinitiation complex
GO:1901299,1,negative regulation of hydrogen peroxide-mediated programmed cell death,thin_vs_early,negative regulation of hydrogen peroxide-mediated programmed cell death
GO:1901352,1,negative regulation of phosphatidylglycerol biosynthetic process,thin_vs_early,negative regulation of phosphatidylglycerol biosynthetic process
GO:1901494,1,regulation of cysteine metabolic process,thin_vs_early,regulation of cysteine metabolic process
GO:1901524,1,regulation of mitophagy,thin_vs_early,regulation of mitophagy
GO:1901525,1,negative regulation of mitophagy,thin_vs_early,negative regulation of mitophagy
GO:1901684,1,arsenate ion transmembrane transport,thin_vs_early,arsenate ion transmembrane transport
GO:1901900,1,regulation of protein localization to cell division site,thin_vs_early,regulation of protein localization to cell division site
GO:1901925,1,negative regulation of protein import into nucleus during spindle assembly checkpoint,thin_vs_early,negative regulation of protein import into nucleus during spindle assembly checkpoint
GO:1901962,1,S-adenosyl-L-methionine transmembrane transport,thin_vs_early,S-adenosyl-L-methionine transmembrane transport
GO:1901987,1,regulation of cell cycle phase transition,thin_vs_early,regulation of cell cycle phase transition
GO:1901992,1,positive regulation of mitotic cell cycle phase transition,thin_vs_early,positive regulation of mitotic cell cycle phase transition
GO:1902047,1,polyamine transmembrane transport,thin_vs_early,polyamine transmembrane transport
GO:1902075,1,cellular response to salt,thin_vs_early,cellular response to salt
GO:1902170,1,cellular response to reactive nitrogen species,thin_vs_early,cellular response to reactive nitrogen species
GO:1902341,1,xylitol transmembrane transport,thin_vs_early,xylitol transmembrane transport
GO:1902358,1,sulfate transmembrane transport,thin_vs_early,sulfate transmembrane transport
GO:1902404,1,mitotic actomyosin contractile ring contraction,thin_vs_early,mitotic actomyosin contractile ring contraction
GO:1902497,1,iron-sulfur cluster transmembrane transport,thin_vs_early,iron-sulfur cluster transmembrane transport
GO:1902775,1,mitochondrial large ribosomal subunit assembly,thin_vs_early,mitochondrial large ribosomal subunit assembly
GO:1902906,1,proteasome storage granule assembly,thin_vs_early,proteasome storage granule assembly
GO:1902927,1,inulin catabolic process,thin_vs_early,inulin catabolic process
GO:1902930,1,regulation of alcohol biosynthetic process,thin_vs_early,regulation of alcohol biosynthetic process
GO:1902935,1,protein localization to septin ring,thin_vs_early,protein localization to septin ring
GO:1902977,1,mitotic DNA replication preinitiation complex assembly,thin_vs_early,mitotic DNA replication preinitiation complex assembly
GO:1903222,1,quinolinic acid transmembrane transport,thin_vs_early,quinolinic acid transmembrane transport
GO:1903353,1,regulation of nucleus organization,thin_vs_early,regulation of nucleus organization
GO:1903401,1,L-lysine transmembrane transport,thin_vs_early,L-lysine transmembrane transport
GO:1903424,1,fluoride transmembrane transport,thin_vs_early,fluoride transmembrane transport
GO:1903450,1,regulation of G1 to G0 transition,thin_vs_early,regulation of G1 to G0 transition
GO:1903452,1,positive regulation of G1 to G0 transition,thin_vs_early,positive regulation of G1 to G0 transition
GO:1903471,1,regulation of mitotic actomyosin contractile ring contraction,thin_vs_early,regulation of mitotic actomyosin contractile ring contraction
GO:1903577,1,cellular response to L-arginine,thin_vs_early,cellular response to L-arginine
GO:1903710,1,spermine transmembrane transport,thin_vs_early,spermine transmembrane transport
GO:1903775,1,regulation of DNA double-strand break processing,thin_vs_early,regulation of DNA double-strand break processing
GO:1903830,1,magnesium ion transmembrane transport,thin_vs_early,magnesium ion transmembrane transport
GO:1903896,1,positive regulation of IRE1-mediated unfolded protein response,thin_vs_early,positive regulation of IRE1-mediated unfolded protein response
GO:1904530,1,negative regulation of actin filament binding,thin_vs_early,negative regulation of actin filament binding
GO:1904669,1,ATP export,thin_vs_early,ATP export
GO:1904749,1,regulation of protein localization to nucleolus,thin_vs_early,regulation of protein localization to nucleolus
GO:1905329,1,sphingoid long-chain base transport,thin_vs_early,sphingoid long-chain base transport
GO:1905356,1,regulation of snRNA pseudouridine synthesis,thin_vs_early,regulation of snRNA pseudouridine synthesis
GO:1990145,1,maintenance of translational fidelity,thin_vs_early,maintenance of translational fidelity
GO:1990166,1,protein localization to site of double-strand break,thin_vs_early,protein localization to site of double-strand break
GO:1990451,1,cellular stress response to acidic pH,thin_vs_early,cellular stress response to acidic pH
GO:1990536,1,phosphoenolpyruvate transmembrane import into Golgi lumen,thin_vs_early,phosphoenolpyruvate transmembrane import into Golgi lumen
GO:1990544,1,mitochondrial ATP transmembrane transport,thin_vs_early,mitochondrial ATP transmembrane transport
GO:1990641,1,response to iron ion starvation,thin_vs_early,response to iron ion starvation
GO:1990683,1,DNA double-strand break attachment to nuclear envelope,thin_vs_early,DNA double-strand break attachment to nuclear envelope
GO:1990758,1,mitotic sister chromatid biorientation,thin_vs_early,mitotic sister chromatid biorientation
GO:2000001,1,regulation of DNA damage checkpoint,thin_vs_early,regulation of DNA damage checkpoint
GO:2000002,1,negative regulation of DNA damage checkpoint,thin_vs_early,negative regulation of DNA damage checkpoint
GO:2000114,1,regulation of establishment of cell polarity,thin_vs_early,regulation of establishment of cell polarity
GO:2000185,1,regulation of phosphate transmembrane transport,thin_vs_early,regulation of phosphate transmembrane transport
GO:2000218,1,negative regulation of invasive growth in response to glucose limitation,thin_vs_early,negative regulation of invasive growth in response to glucose limitation
GO:2000221,1,negative regulation of pseudohyphal growth,thin_vs_early,negative regulation of pseudohyphal growth
GO:2000222,1,positive regulation of pseudohyphal growth,thin_vs_early,positive regulation of pseudohyphal growth
GO:2000278,1,regulation of DNA biosynthetic process,thin_vs_early,regulation of DNA biosynthetic process
GO:2000601,1,positive regulation of Arp2/3 complex-mediated actin nucleation,thin_vs_early,positive regulation of Arp2/3 complex-mediated actin nucleation
GO:2000679,1,positive regulation of transcription regulatory region DNA binding,thin_vs_early,positive regulation of transcription regulatory region DNA binding
GO:2000766,1,negative regulation of cytoplasmic translation,thin_vs_early,negative regulation of cytoplasmic translation
GO:2000767,1,positive regulation of cytoplasmic translation,thin_vs_early,positive regulation of cytoplasmic translation
GO:2000785,1,regulation of autophagosome assembly,thin_vs_early,regulation of autophagosome assembly
GO:2001042,1,negative regulation of septum digestion after cytokinesis,thin_vs_early,negative regulation of septum digestion after cytokinesis
GO:2001209,1,positive regulation of transcription elongation by RNA polymerase I,thin_vs_early,positive regulation of transcription elongation by RNA polymerase I
GO:2001234,1,negative regulation of apoptotic signaling pathway,thin_vs_early,negative regulation of apoptotic signaling pathway
GO:2001246,1,negative regulation of phosphatidylcholine biosynthetic process,thin_vs_early,negative regulation of phosphatidylcholine biosynthetic process
GO:2001247,1,positive regulation of phosphatidylcholine biosynthetic process,thin_vs_early,positive regulation of phosphatidylcholine biosynthetic process
GO:2001295,1,malonyl-CoA biosynthetic process,thin_vs_early,malonyl-CoA biosynthetic process
GO:0008150,296,biological_process,mature_vs_early,biological_process
GO:0055085,130,transmembrane transport,mature_vs_early,transmembrane transport
GO:0015031,122,protein transport,mature_vs_early,protein transport
GO:0006412,94,translation,mature_vs_early,translation
GO:0045944,86,positive regulation of transcription by RNA polymerase II,mature_vs_early,positive regulation of transcription by RNA polymerase II
GO:0006357,71,regulation of transcription by RNA polymerase II,mature_vs_early,regulation of transcription by RNA polymerase II
GO:0006364,70,rRNA processing,mature_vs_early,rRNA processing
GO:0042254,68,ribosome biogenesis,mature_vs_early,ribosome biogenesis
GO:0006629,67,lipid metabolic process,mature_vs_early,lipid metabolic process
GO:0051301,67,cell division,mature_vs_early,cell division
GO:0006355,64,regulation of DNA-templated transcription,mature_vs_early,regulation of DNA-templated transcription
GO:0006811,60,monoatomic ion transport,mature_vs_early,monoatomic ion transport
GO:0006974,55,DNA damage response,mature_vs_early,DNA damage response
GO:0006457,53,protein folding,mature_vs_early,protein folding
GO:0006397,52,mRNA processing,mature_vs_early,mRNA processing
GO:0006281,51,DNA repair,mature_vs_early,DNA repair
GO:0032543,49,mitochondrial translation,mature_vs_early,mitochondrial translation
GO:0051321,49,meiotic cell cycle,mature_vs_early,meiotic cell cycle
GO:1902600,49,proton transmembrane transport,mature_vs_early,proton transmembrane transport
GO:0000122,47,negative regulation of transcription by RNA polymerase II,mature_vs_early,negative regulation of transcription by RNA polymerase II
GO:0031505,46,fungal-type cell wall organization,mature_vs_early,fungal-type cell wall organization
GO:0030435,45,sporulation resulting in formation of a cellular spore,mature_vs_early,sporulation resulting in formation of a cellular spore
GO:0071555,45,cell wall organization,mature_vs_early,cell wall organization
GO:0006325,40,chromatin organization,mature_vs_early,chromatin organization
GO:0002181,37,cytoplasmic translation,mature_vs_early,cytoplasmic translation
GO:0006508,37,proteolysis,mature_vs_early,proteolysis
GO:0016192,35,vesicle-mediated transport,mature_vs_early,vesicle-mediated transport
GO:0008380,34,RNA splicing,mature_vs_early,RNA splicing
GO:0007165,33,signal transduction,mature_vs_early,signal transduction
GO:0043161,33,proteasome-mediated ubiquitin-dependent protein catabolic process,mature_vs_early,proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0005975,32,carbohydrate metabolic process,mature_vs_early,carbohydrate metabolic process
GO:0006511,32,ubiquitin-dependent protein catabolic process,mature_vs_early,ubiquitin-dependent protein catabolic process
GO:0008652,32,amino acid biosynthetic process,mature_vs_early,amino acid biosynthetic process
GO:0006886,31,intracellular protein transport,mature_vs_early,intracellular protein transport
GO:0034599,31,cellular response to oxidative stress,mature_vs_early,cellular response to oxidative stress
GO:0006897,30,endocytosis,mature_vs_early,endocytosis
GO:0006888,29,endoplasmic reticulum to Golgi vesicle-mediated transport,mature_vs_early,endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0000398,28,"mRNA splicing, via spliceosome",mature_vs_early,"mRNA splicing, via spliceosome"
GO:0008033,28,tRNA processing,mature_vs_early,tRNA processing
GO:0006338,27,chromatin remodeling,mature_vs_early,chromatin remodeling
GO:0009060,26,aerobic respiration,mature_vs_early,aerobic respiration
GO:0006351,25,DNA-templated transcription,mature_vs_early,DNA-templated transcription
GO:0006865,25,amino acid transport,mature_vs_early,amino acid transport
GO:0006606,24,protein import into nucleus,mature_vs_early,protein import into nucleus
GO:0034605,24,cellular response to heat,mature_vs_early,cellular response to heat
GO:0006914,23,autophagy,mature_vs_early,autophagy
GO:0016236,23,macroautophagy,mature_vs_early,macroautophagy
GO:0016567,23,protein ubiquitination,mature_vs_early,protein ubiquitination
GO:0035556,23,intracellular signal transduction,mature_vs_early,intracellular signal transduction
GO:0036503,23,ERAD pathway,mature_vs_early,ERAD pathway
GO:0006260,22,DNA replication,mature_vs_early,DNA replication
GO:0051028,22,mRNA transport,mature_vs_early,mRNA transport
GO:0007059,21,chromosome segregation,mature_vs_early,chromosome segregation
GO:0007124,21,pseudohyphal growth,mature_vs_early,pseudohyphal growth
GO:0019658,21,glucose fermentation to lactate and acetate,mature_vs_early,glucose fermentation to lactate and acetate
GO:0001403,20,invasive growth in response to glucose limitation,mature_vs_early,invasive growth in response to glucose limitation
GO:0006631,20,fatty acid metabolic process,mature_vs_early,fatty acid metabolic process
GO:0042273,20,ribosomal large subunit biogenesis,mature_vs_early,ribosomal large subunit biogenesis
GO:0006696,19,ergosterol biosynthetic process,mature_vs_early,ergosterol biosynthetic process
GO:0006869,19,lipid transport,mature_vs_early,lipid transport
GO:0030437,19,ascospore formation,mature_vs_early,ascospore formation
GO:0042026,19,protein refolding,mature_vs_early,protein refolding
GO:0000082,18,G1/S transition of mitotic cell cycle,mature_vs_early,G1/S transition of mitotic cell cycle
GO:0006417,18,regulation of translation,mature_vs_early,regulation of translation
GO:0030476,18,ascospore wall assembly,mature_vs_early,ascospore wall assembly
GO:0033554,18,cellular response to stress,mature_vs_early,cellular response to stress
GO:0006096,17,glycolytic process,mature_vs_early,glycolytic process
GO:0006310,17,DNA recombination,mature_vs_early,DNA recombination
GO:0006995,17,cellular response to nitrogen starvation,mature_vs_early,cellular response to nitrogen starvation
GO:0000462,16,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",mature_vs_early,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0006099,16,tricarboxylic acid cycle,mature_vs_early,tricarboxylic acid cycle
GO:0006366,16,transcription by RNA polymerase II,mature_vs_early,transcription by RNA polymerase II
GO:0006368,16,transcription elongation by RNA polymerase II,mature_vs_early,transcription elongation by RNA polymerase II
GO:0006879,16,intracellular iron ion homeostasis,mature_vs_early,intracellular iron ion homeostasis
GO:0007005,16,mitochondrion organization,mature_vs_early,mitochondrion organization
GO:0009086,16,methionine biosynthetic process,mature_vs_early,methionine biosynthetic process
GO:0016126,16,sterol biosynthetic process,mature_vs_early,sterol biosynthetic process
GO:0042149,16,cellular response to glucose starvation,mature_vs_early,cellular response to glucose starvation
GO:0006486,15,protein glycosylation,mature_vs_early,protein glycosylation
GO:0006694,15,steroid biosynthetic process,mature_vs_early,steroid biosynthetic process
GO:0006826,15,iron ion transport,mature_vs_early,iron ion transport
GO:0051603,15,proteolysis involved in protein catabolic process,mature_vs_early,proteolysis involved in protein catabolic process
GO:0098869,15,cellular oxidant detoxification,mature_vs_early,cellular oxidant detoxification
GO:0007131,14,reciprocal meiotic recombination,mature_vs_early,reciprocal meiotic recombination
GO:0008202,14,steroid metabolic process,mature_vs_early,steroid metabolic process
GO:0032968,14,positive regulation of transcription elongation by RNA polymerase II,mature_vs_early,positive regulation of transcription elongation by RNA polymerase II
GO:0000086,13,G2/M transition of mitotic cell cycle,mature_vs_early,G2/M transition of mitotic cell cycle
GO:0000278,13,mitotic cell cycle,mature_vs_early,mitotic cell cycle
GO:0003333,13,amino acid transmembrane transport,mature_vs_early,amino acid transmembrane transport
GO:0006094,13,gluconeogenesis,mature_vs_early,gluconeogenesis
GO:0006623,13,protein targeting to vacuole,mature_vs_early,protein targeting to vacuole
GO:0008361,13,regulation of cell size,mature_vs_early,regulation of cell size
GO:0008654,13,phospholipid biosynthetic process,mature_vs_early,phospholipid biosynthetic process
GO:0031509,13,subtelomeric heterochromatin formation,mature_vs_early,subtelomeric heterochromatin formation
GO:0032258,13,cytoplasm to vacuole targeting by the Cvt pathway,mature_vs_early,cytoplasm to vacuole targeting by the Cvt pathway
GO:0032259,13,methylation,mature_vs_early,methylation
GO:0033617,13,mitochondrial cytochrome c oxidase assembly,mature_vs_early,mitochondrial cytochrome c oxidase assembly
GO:0000422,12,autophagy of mitochondrion,mature_vs_early,autophagy of mitochondrion
GO:0006289,12,nucleotide-excision repair,mature_vs_early,nucleotide-excision repair
GO:0007035,12,vacuolar acidification,mature_vs_early,vacuolar acidification
GO:0007264,12,small GTPase-mediated signal transduction,mature_vs_early,small GTPase-mediated signal transduction
GO:0042144,12,"vacuole fusion, non-autophagic",mature_vs_early,"vacuole fusion, non-autophagic"
GO:0045454,12,cell redox homeostasis,mature_vs_early,cell redox homeostasis
GO:0051726,12,regulation of cell cycle,mature_vs_early,regulation of cell cycle
GO:0000425,11,pexophagy,mature_vs_early,pexophagy
GO:0000447,11,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",mature_vs_early,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
